ST	aroA	cpn60	dpr	gki	mutS	recA	thrA	clonal_complex
1	1	1	1	1	1	1	1	
2	1	1	1	2	1	1	1	
3	1	1	1	16	1	1	1	
4	9	1	1	1	1	1	1	
5	1	1	1	40	1	1	1	
6	1	1	1	1	1	1	2	
7	1	1	1	1	1	1	3	
8	1	1	1	1	28	1	1	
9	1	1	1	35	1	1	1	
10	1	10	1	1	1	1	1	
11	3	1	1	1	1	1	1	
12	3	1	1	1	1	2	1	
13	1	12	1	1	6	21	21	
14	18	1	5	12	1	10	1	
15	8	8	5	12	1	10	4	
16	5	17	5	12	1	10	4	
17	8	1	5	12	1	10	1	
18	31	1	5	12	1	10	1	
19	1	8	24	12	1	10	4	
20	1	1	5	12	1	10	1	
21	18	8	24	12	1	9	4	
22	18	8	24	12	1	11	4	
23	26	8	24	12	1	10	4	
24	6	21	24	12	1	10	4	
25	9	30	5	34	30	3	25	
26	2	26	5	34	31	3	25	
27	31	30	5	34	31	3	25	
28	2	30	5	34	31	3	25	
29	8	30	5	34	30	3	25	
30	30	30	5	34	31	3	22	
31	30	30	5	34	31	3	25	
32	8	30	5	34	30	21	4	
33	31	30	4	34	31	3	25	
34	8	43	5	34	30	21	4	
35	31	30	5	34	31	4	25	
36	24	30	35	25	9	33	20	
37	25	39	5	6	14	29	12	
38	31	7	8	13	6	7	24	
39	21	25	19	14	5	10	9	
40	37	10	14	14	8	32	27	
41	15	27	9	4	16	26	11	
42	13	13	32	28	25	38	12	
43	35	36	27	9	37	28	29	
44	32	19	25	10	6	12	6	
45	28	31	5	7	36	24	31	
46	17	3	21	7	14	6	8	
47	25	24	9	29	7	30	12	
48	37	41	20	46	38	5	27	
49	31	3	16	26	35	21	6	
50	17	42	21	15	14	6	8	
51	29	19	26	13	6	12	20	
52	35	36	27	9	37	18	29	
53	8	6	18	20	28	7	5	
54	8	6	18	20	28	7	4	
55	25	37	15	41	15	23	10	
56	1	2	17	36	29	21	15	
57	27	22	11	43	12	25	18	
58	1	2	17	37	29	21	15	
59	17	21	5	44	2	22	4	
60	31	30	18	38	17	8	15	
61	17	21	5	45	2	22	4	
62	7	31	28	8	18	16	32	
63	19	29	12	39	24	39	16	
64	8	21	5	45	2	22	4	
65	10	16	23	27	23	31	17	
66	38	35	10	42	33	17	30	
67	27	15	11	22	12	27	11	
68	14	20	31	27	27	34	18	
69	23	33	22	30	3	15	12	
70	38	28	30	15	32	26	7	
71	11	5	13	11	26	36	14	
72	12	9	33	3	19	35	19	
73	33	37	2	19	13	5	12	
74	31	2	6	31	10	14	6	
75	25	32	9	15	9	13	8	
76	8	23	36	24	21	22	12	
77	39	38	7	32	11	3	8	
78	23	11	5	7	22	20	8	
79	8	21	36	45	21	22	12	
80	8	21	3	45	2	22	23	
81	22	1	20	21	4	21	26	
82	25	34	29	5	34	19	28	
83	8	30	5	34	39	3	25	
84	4	1	1	1	1	1	1	
85	34	14	37	33	20	40	21	
86	1	1	1	1	1	1	25	
87	18	8	24	12	1	10	4	
88	36	3	16	18	35	21	6	
89	8	8	24	12	1	10	4	
90	20	40	5	23	40	41	1	
91	31	18	5	12	41	10	18	
92	16	4	34	17	42	37	13	
93	40	44	38	48	43	15	33	
94	8	21	5	45	44	22	4	
95	41	45	39	49	45	42	34	
