ST	arcC	aroE	gtr	mutS	pyrR	tpiA	yqiL	clonal_complex
1	1	2	2	2	1	1	10	
2	7	1	2	2	4	1	1	
3	1	2	2	2	1	3	10	
4	1	1	6	6	2	1	1	
5	1	1	1	2	2	1	1	
6	1	1	2	2	2	1	1	
7	1	1	1	2	4	1	1	
8	2	1	7	1	1	1	1	
9	1	2	2	2	2	1	1	
10	1	1	1	1	3	1	1	
11	3	1	5	5	3	4	11	
12	2	6	2	1	1	3	1	
13	2	1	7	1	1	3	1	
14	1	1	2	1	1	1	1	
15	3	3	5	15	3	15	12	
16	2	1	2	2	15	1	1	
17	1	1	6	2	2	1	1	
18	3	5	5	15	11	4	11	
19	8	7	12	4	12	2	2	
20	1	1	2	2	1	1	3	
21	2	1	1	2	1	1	1	
22	7	1	2	2	4	7	1	
23	7	1	2	1	3	3	1	
24	3	1	5	5	11	16	11	
25	1	6	2	1	1	1	3	
26	1	2	2	1	1	3	1	
27	1	2	2	2	2	3	1	
28	7	1	2	2	4	3	1	
29	1	2	2	2	16	3	10	
30	1	6	2	1	1	3	3	
31	1	6	2	1	1	3	10	
32	1	1	7	1	3	5	14	
33	12	10	5	5	13	5	21	
34	1	1	2	2	1	13	3	
35	2	1	2	2	4	1	1	
36	11	6	2	1	1	13	1	
37	18	1	5	5	11	4	20	
38	1	2	2	5	1	1	10	
39	22	1	5	5	10	13	12	
40	1	1	2	1	3	1	1	
41	1	1	1	1	3	1	11	
42	1	6	2	1	1	13	1	
43	7	1	2	2	1	1	1	
44	1	6	6	2	1	1	1	
45	20	1	2	2	4	1	1	
46	1	1	1	2	2	1	7	
47	12	1	5	5	13	5	21	
48	7	1	2	2	4	1	4	
49	12	1	5	5	3	4	20	
50	3	1	5	5	3	4	4	
51	7	1	2	2	1	1	8	
52	2	2	1	2	1	1	1	
53	3	1	5	5	11	4	11	
54	1	1	2	2	4	1	1	
55	1	2	1	1	2	1	10	
56	8	15	9	11	9	10	13	
57	1	1	1	1	2	1	1	
58	1	1	2	2	2	13	1	
59	2	1	1	1	2	1	1	
60	1	1	2	6	2	1	16	
61	2	1	6	6	2	1	1	
62	3	21	5	5	3	4	4	
63	22	1	2	2	4	13	1	
64	12	1	5	5	11	4	20	
65	1	19	17	4	9	10	2	
66	12	3	5	5	7	14	11	
67	7	1	18	2	4	1	1	
68	12	3	5	5	7	1	11	
69	1	18	6	2	2	1	1	
70	7	1	2	2	14	7	1	
71	3	1	5	5	3	1	11	
72	8	2	2	4	9	6	9	
73	1	5	2	6	2	1	6	
74	7	1	2	12	4	1	1	
75	7	1	2	2	4	13	1	
76	7	1	2	14	4	1	1	
77	23	1	1	2	2	1	1	
78	21	1	2	2	4	13	1	
79	21	1	2	1	3	3	1	
80	21	1	2	2	4	1	1	
81	2	17	1	1	2	1	1	
82	17	20	5	5	3	4	4	
83	1	2	1	2	1	1	10	
84	12	2	5	5	3	4	20	
85	1	1	2	2	1	1	1	
86	1	2	2	1	1	1	1	
87	7	1	1	2	2	1	1	
88	1	1	2	1	2	1	7	
89	1	1	2	1	2	1	1	
90	16	1	2	1	2	12	1	
91	1	1	2	2	20	1	18	
92	12	25	5	5	7	5	4	
93	1	13	2	2	21	1	7	
94	1	1	6	20	2	1	1	
95	2	1	2	2	15	1	2	
96	1	6	1	6	2	1	1	
97	60	52	2	2	2	1	3	
98	1	2	2	5	17	1	10	
99	1	1	1	6	2	1	10	
100	2	1	1	2	20	1	1	
101	1	1	2	5	2	1	1	
102	1	1	2	6	2	11	10	
103	1	13	2	2	21	16	7	
104	1	1	1	1	20	1	1	
105	2	1	1	1	20	1	1	
106	1	1	2	19	2	16	19	
107	1	1	20	6	21	16	10	
108	1	1	6	20	2	16	7	
109	1	1	20	6	2	16	10	
110	1	1	1	6	2	1	1	
111	1	13	2	2	2	1	7	
112	1	1	21	2	2	16	7	
113	14	1	2	2	2	1	1	
114	1	1	2	6	2	1	7	
115	1	1	2	1	2	1	6	
116	7	1	2	1	3	1	6	
117	1	1	1	1	2	3	1	
118	1	1	1	1	1	1	10	
119	1	1	1	1	2	1	8	
120	1	1	1	1	2	1	10	
121	1	1	2	8	4	3	1	
122	1	1	6	4	2	1	1	
123	12	1	5	5	2	16	4	
124	1	1	6	6	1	1	1	
125	1	1	1	1	1	1	1	
126	7	1	1	1	3	1	1	
127	3	1	2	7	2	1	11	
128	2	1	1	1	3	1	1	
129	7	1	2	1	4	7	1	
130	1	1	1	2	1	1	1	
131	3	1	1	1	4	1	1	
132	1	5	2	6	2	1	1	
133	1	2	1	2	1	1	1	
134	1	1	22	2	2	1	1	
135	7	1	2	1	3	1	1	
136	1	1	7	2	2	1	1	
137	3	1	5	5	7	1	1	
138	1	1	9	8	2	1	8	
139	8	19	1	4	9	2	9	
140	1	1	12	2	2	1	1	
141	1	2	9	1	1	1	3	
142	2	1	2	2	2	1	1	
143	2	1	2	1	2	1	1	
144	7	1	12	2	4	1	1	
145	8	1	12	2	2	1	1	
146	8	1	2	6	2	1	1	
147	8	7	12	4	1	2	2	
148	1	1	1	5	2	1	11	
149	1	1	1	2	2	1	10	
150	1	1	2	6	2	5	1	
151	1	5	2	6	2	1	4	
152	1	1	2	6	2	1	1	
153	2	1	6	2	2	1	1	
154	1	2	1	1	1	1	1	
155	1	1	2	1	4	1	10	
156	1	2	6	2	1	1	11	
157	1	23	3	6	2	1	1	
158	1	2	6	2	22	1	1	
159	2	1	23	1	2	1	1	
160	8	1	12	4	2	6	2	
161	8	1	12	2	4	1	1	
162	3	16	12	5	8	1	4	
163	1	1	1	1	2	1	13	
164	8	7	12	4	1	3	1	
165	1	1	2	2	12	1	1	
166	1	1	2	2	2	1	3	
167	1	6	1	6	2	1	22	
168	7	1	2	22	4	1	1	
169	2	1	6	2	4	1	1	
170	25	19	17	4	23	10	2	
171	25	19	17	4	9	10	2	
172	1	2	1	2	2	1	1	
173	1	6	6	1	2	1	10	
174	3	25	16	5	11	4	4	
175	26	1	1	1	2	1	1	
176	3	1	24	5	7	4	11	
177	1	1	1	24	2	1	1	
178	24	26	2	23	24	1	24	
179	1	2	2	2	1	1	1	
180	7	1	6	2	4	1	10	
181	3	1	1	5	11	1	11	
182	12	1	5	2	3	1	20	
183	8	19	17	4	9	10	2	
184	16	1	2	1	2	1	1	
185	27	1	2	2	4	1	1	
186	7	1	2	2	4	7	23	
187	29	1	27	4	9	10	26	
188	15	1	2	2	4	1	1	
189	1	1	2	2	2	16	1	
190	1	1	1	2	5	1	1	
191	7	1	6	2	4	7	1	
192	30	1	9	8	6	5	27	
193	12	1	9	8	6	5	8	
194	7	1	2	2	4	1	13	
195	1	1	1	2	26	1	1	
196	1	2	1	1	1	1	7	
197	12	1	16	5	3	1	11	
198	7	1	6	2	2	1	1	
199	1	2	6	2	3	1	7	
200	1	1	2	2	3	1	3	
201	1	1	2	2	4	1	7	
202	29	3	27	4	9	10	26	
203	3	16	9	5	3	4	5	
204	2	1	2	6	2	1	7	
205	28	10	5	5	13	5	21	
206	12	10	9	9	25	16	21	
207	2	1	2	25	4	1	1	
208	3	3	13	5	7	4	4	
209	3	1	2	5	7	17	11	
210	1	1	1	2	2	1	25	
211	1	1	25	2	2	1	1	
212	1	6	26	2	1	1	1	
213	1	1	2	2	1	1	10	
214	3	6	5	5	7	16	4	
215	1	6	2	1	1	16	1	
216	1	1	2	1	1	16	1	
217	2	1	1	6	3	1	7	
218	1	1	2	6	2	16	1	
219	3	25	5	5	3	4	1	
220	12	10	5	5	10	16	10	
221	1	1	2	2	2	1	28	
222	1	1	1	2	2	18	1	
223	7	27	2	2	4	1	1	
224	19	16	19	6	3	19	10	
225	1	13	7	2	2	1	29	
226	28	3	5	5	8	19	11	
227	12	10	5	5	10	16	21	
228	13	5	2	6	2	1	6	
229	1	28	2	1	1	16	1	
230	3	29	5	5	3	4	11	
231	7	1	2	26	3	3	1	
232	1	1	1	2	2	21	1	
233	31	1	1	1	2	1	1	
234	31	1	1	6	2	1	1	
235	31	1	1	2	2	1	1	
236	1	1	1	6	3	1	1	
237	7	1	2	2	4	16	1	
238	1	1	5	1	2	1	1	
239	12	1	5	5	7	22	11	
240	1	1	1	2	1	1	30	
241	2	1	1	1	27	1	1	
242	7	1	1	2	4	1	1	
243	1	1	6	1	2	1	10	
244	1	1	2	1	2	16	30	
245	2	1	1	1	2	21	1	
246	32	10	9	5	10	16	21	
247	12	1	5	5	11	4	4	
248	1	1	2	2	1	16	3	
249	12	10	9	9	10	16	31	
250	1	1	1	2	1	1	3	
251	1	1	6	1	2	1	1	
252	1	1	1	2	2	16	1	
253	1	5	2	6	2	1	32	
254	1	2	28	2	2	1	3	
255	2	1	1	6	2	1	1	
256	1	1	2	6	2	1	33	
257	1	1	2	1	1	1	10	
258	19	15	5	5	3	9	10	
259	12	1	2	1	2	1	1	
260	12	1	2	1	1	1	1	
261	2	1	2	6	1	16	1	
262	19	16	9	5	8	1	12	
263	3	1	16	5	11	4	4	
264	28	3	13	5	8	9	35	
265	33	1	29	5	11	23	11	
266	1	1	1	2	2	1	34	
267	12	29	5	5	7	4	12	
268	12	29	5	5	11	4	21	
269	1	1	2	2	28	16	1	
270	1	32	31	6	9	16	38	
271	1	1	32	6	2	16	1	
272	2	1	1	27	1	1	1	
273	37	33	7	2	2	25	33	
274	35	31	17	4	29	10	37	
275	1	1	3	2	2	26	10	
276	34	10	1	5	10	16	21	
277	1	2	2	1	1	27	1	
278	1	1	1	1	1	1	14	
279	1	1	2	2	2	24	1	
280	7	1	2	2	2	1	1	
281	2	1	3	1	2	1	1	
282	28	3	5	5	11	5	4	
283	1	2	2	1	2	1	1	
284	1	1	9	5	2	1	1	
285	2	1	7	2	2	1	8	
286	8	30	1	23	9	6	9	
287	8	30	1	5	7	6	36	
288	1	1	1	23	9	1	1	
289	3	3	13	1	2	4	4	
290	12	29	5	5	11	4	4	
291	2	1	1	2	2	1	1	
292	1	1	2	5	4	1	10	
293	1	1	2	6	2	1	10	
294	1	1	2	6	2	1	6	
295	1	1	3	6	2	1	1	
296	7	1	6	2	4	1	1	
297	1	2	2	2	2	1	3	
298	12	1	5	5	11	1	4	
299	7	1	2	2	2	7	1	
300	1	1	2	1	4	1	6	
301	1	2	2	2	2	1	7	
302	7	1	2	2	4	1	3	
303	1	1	2	6	2	1	3	
304	12	25	5	5	11	1	4	
305	12	25	15	5	11	5	12	
306	7	1	2	2	30	1	1	
307	2	1	3	2	4	1	7	
308	28	25	5	5	11	4	4	
309	38	1	1	2	2	1	1	
310	39	5	2	6	2	1	6	
311	1	1	6	2	31	1	1	
312	1	2	1	1	2	1	39	
313	1	1	1	6	2	5	29	
314	40	1	2	1	1	1	4	
315	12	25	9	8	6	5	8	
316	19	10	9	9	10	16	10	
317	28	2	15	5	32	1	40	
318	41	1	1	2	4	1	1	
319	1	2	2	28	1	1	1	
320	7	1	2	2	4	29	1	
321	42	10	5	5	13	5	21	
322	3	34	9	5	33	28	12	
323	1	1	7	6	2	1	41	
324	1	13	6	6	2	20	1	
325	12	29	9	8	6	5	27	
326	19	16	5	6	3	19	10	
327	1	1	2	1	4	1	1	
328	12	29	5	5	7	5	4	
329	12	29	9	8	6	5	8	
330	2	1	2	2	34	1	1	
331	12	35	5	5	10	16	21	
332	28	29	5	5	11	4	4	
333	2	1	2	1	2	1	7	
334	1	1	33	6	2	16	1	
335	12	1	2	5	3	4	11	
336	7	1	2	2	4	1	42	
337	32	10	10	9	10	16	31	
338	1	1	2	2	4	1	43	
339	7	1	2	2	3	1	8	
340	3	1	5	5	3	4	1	
341	7	36	2	2	4	7	1	
342	7	1	2	5	4	1	1	
343	31	1	1	6	1	1	1	
344	2	1	1	1	2	1	3	
345	1	5	2	6	2	1	16	
346	7	1	2	29	4	1	1	
347	1	1	9	5	6	5	8	
348	3	5	16	2	11	4	4	
349	2	1	6	1	2	1	1	
350	1	1	6	1	4	1	7	
351	1	2	6	2	1	1	10	
352	1	2	6	1	1	1	1	
353	1	1	6	2	4	1	1	
354	3	25	5	5	11	4	4	
355	2	1	6	6	2	1	7	
356	1	1	6	1	1	1	1	
357	1	1	1	1	4	1	7	
358	1	1	7	1	3	30	14	
359	43	1	1	2	2	1	1	
360	3	3	5	5	7	4	4	
361	44	1	2	2	4	1	1	
362	3	6	6	5	8	1	12	
363	12	16	5	1	12	8	6	
364	1	1	7	2	5	1	1	
365	3	25	5	5	3	4	4	
366	7	1	34	2	4	1	1	
367	1	2	2	6	2	1	44	
368	12	29	5	5	3	4	11	
369	3	29	5	5	3	4	4	
370	12	10	5	5	10	16	12	
371	12	25	5	5	11	4	4	
372	12	25	5	5	3	4	11	
373	12	25	15	5	11	10	11	
374	1	6	2	2	2	1	33	
375	12	1	15	5	11	4	11	
376	1	6	1	2	1	1	1	
377	12	10	2	5	10	1	1	
378	1	5	2	6	2	1	33	
379	3	1	2	5	4	7	1	
380	12	37	5	5	11	4	4	
381	2	38	2	6	4	1	1	
382	45	29	15	30	2	5	45	
383	1	5	2	31	2	1	6	
384	1	1	22	2	2	1	25	
385	46	1	2	6	2	1	16	
386	1	1	6	1	1	1	14	
387	1	1	7	6	2	1	33	
388	7	1	6	2	2	1	10	
389	25	19	17	4	23	10	9	
390	3	3	5	6	2	22	4	
391	23	2	2	1	1	1	1	
392	1	39	2	2	1	1	1	
393	19	3	9	32	8	22	1	
394	1	1	1	1	35	1	1	
395	1	39	1	32	2	1	4	
396	48	1	2	1	2	1	7	
397	1	39	1	2	2	1	1	
398	1	39	7	6	2	1	1	
399	24	39	6	4	29	31	13	
400	49	10	9	5	7	31	46	
401	12	39	35	5	7	31	11	
402	47	40	29	5	3	31	4	
403	47	1	29	5	3	31	1	
404	48	10	16	5	35	31	1	
405	30	1	9	8	6	31	8	
406	1	1	9	5	6	31	8	
407	49	3	9	5	3	31	4	
408	12	1	5	5	7	31	4	
409	1	1	2	2	20	1	1	
410	50	41	5	7	3	32	11	
411	1	1	3	6	2	1	47	
412	1	42	2	1	1	16	1	
413	1	6	2	2	2	1	1	
414	1	1	1	1	2	1	4	
415	12	3	16	2	3	33	12	
416	28	1	15	7	3	34	11	
417	1	6	2	33	1	16	1	
418	7	43	2	2	4	1	1	
419	37	16	9	5	8	16	12	
420	51	25	5	5	3	4	4	
421	33	44	29	5	11	23	11	
422	1	1	1	2	2	1	16	
423	1	1	7	6	2	1	1	
424	12	1	9	6	6	5	8	
425	1	1	1	2	1	1	10	
426	1	1	1	2	4	16	21	
427	1	6	2	1	1	1	1	
428	7	6	2	2	4	1	1	
429	1	1	1	2	36	1	1	
430	1	1	1	34	2	1	1	
431	53	1	2	2	2	1	1	
432	1	45	2	2	2	1	3	
433	1	46	7	6	2	1	4	
434	1	6	36	1	1	16	1	
435	1	1	2	1	37	16	1	
436	1	47	7	6	2	1	33	
437	1	29	2	2	1	4	11	
438	3	25	5	5	11	4	11	
439	28	41	5	5	38	5	11	
440	1	1	37	1	2	1	1	
441	28	16	5	5	3	19	49	
442	28	29	15	5	3	4	8	
443	19	1	5	5	2	9	10	
444	12	6	9	8	6	5	8	
445	1	1	1	35	2	1	1	
446	7	1	38	2	4	1	1	
447	7	2	2	2	4	1	1	
448	8	1	17	23	9	6	9	
449	1	2	2	2	2	1	50	
450	54	1	1	2	1	1	1	
451	12	1	16	5	3	33	9	
452	2	1	1	2	2	16	1	
453	1	1	39	36	2	1	1	
454	1	1	2	1	2	1	8	
455	1	1	1	2	4	36	1	
456	1	2	2	1	1	1	8	
457	3	16	16	5	3	19	31	
458	50	1	5	5	39	1	21	
459	1	1	2	6	1	1	33	
460	12	1	16	5	7	4	7	
461	12	1	8	5	7	5	11	
462	12	10	5	5	7	16	21	
463	55	3	15	5	7	5	11	
464	12	10	5	5	12	5	31	
465	3	1	15	5	7	5	11	
466	2	1	1	1	1	1	1	
467	1	2	7	1	1	1	14	
468	12	1	9	8	6	5	27	
469	1	1	40	6	2	1	51	
470	1	1	3	2	2	5	29	
471	1	38	2	6	2	16	1	
472	1	5	2	6	4	1	6	
473	12	32	9	9	40	1	21	
474	1	1	2	2	41	1	1	
475	8	1	42	37	42	16	13	
476	12	25	5	5	7	4	12	
477	1	13	41	6	2	37	1	
478	28	1	15	5	38	1	4	
479	35	3	6	38	3	38	2	
480	1	1	1	2	2	39	25	
481	12	1	6	1	11	38	4	
482	3	16	2	5	3	1	52	
483	2	1	1	6	1	2	1	
484	28	1	1	5	38	1	4	
485	8	7	1	4	12	2	2	
486	8	2	2	4	9	1	9	
487	1	1	1	5	2	1	1	
488	1	2	2	1	1	1	3	
489	12	10	5	5	10	5	31	
490	8	30	17	23	9	6	9	
491	1	1	43	2	1	16	3	
492	28	49	15	7	43	34	4	
493	1	2	2	2	9	6	53	
494	1	1	44	2	2	1	1	
495	28	10	5	5	10	40	31	
496	1	1	2	39	2	1	1	
497	7	5	2	6	2	1	6	
498	1	2	1	2	1	1	4	
499	1	1	2	1	1	1	3	
500	59	1	16	5	3	19	54	
501	7	1	2	1	4	3	1	
502	8	2	2	4	2	6	9	
503	7	1	2	1	9	3	1	
504	8	30	46	37	42	16	13	
505	50	17	1	5	7	1	11	
506	3	2	5	5	3	4	1	
507	8	30	17	40	29	16	36	
508	2	17	1	1	29	16	1	
509	8	51	45	37	29	6	13	
510	1	1	2	2	3	1	1	
511	1	1	2	6	6	1	1	
512	58	1	2	1	2	1	1	
513	1	50	33	1	2	1	10	
514	57	16	5	5	8	33	45	
515	28	25	5	5	7	5	11	
516	1	2	5	1	1	1	14	
517	1	2	2	6	2	16	1	
518	1	2	1	1	1	1	14	
519	2	2	1	1	2	1	1	
520	1	1	2	1	1	1	33	
521	1	23	3	6	2	1	10	
522	32	1	10	2	10	1	1	
523	1	6	2	5	1	16	1	
524	1	1	2	2	4	16	1	
525	1	2	1	1	2	1	1	
526	8	24	17	4	12	6	9	
527	43	6	6	1	2	1	10	
528	1	1	7	2	2	1	29	
529	1	2	2	6	2	1	10	
530	32	48	10	41	10	4	21	
531	8	7	12	4	12	41	2	
532	1	5	2	6	44	1	6	
533	1	1	2	6	4	1	16	
534	28	48	5	5	10	5	31	
535	1	2	6	2	2	1	1	
536	1	5	1	2	2	1	1	
537	28	10	5	5	10	1	31	
538	1	19	17	4	9	1	2	
539	28	1	47	5	7	5	1	
540	1	1	2	6	2	42	33	
541	2	17	1	1	1	1	1	
542	57	1	1	2	1	1	1	
543	1	2	6	2	22	1	10	
544	2	17	1	2	2	1	1	
545	1	1	2	1	45	1	33	
546	32	10	9	5	3	16	11	
547	12	10	5	5	10	16	31	
548	1	10	5	5	10	16	31	
549	1	2	1	2	4	1	10	
550	8	1	12	4	12	2	2	
551	3	25	5	5	11	16	11	
552	3	25	5	5	3	16	11	
553	7	1	48	2	4	7	1	
554	1	2	2	2	2	1	55	
555	60	2	2	2	2	1	3	
556	1	52	1	35	2	1	4	
557	2	17	1	42	2	1	1	
558	3	29	5	5	11	4	11	
559	12	44	5	5	3	4	20	
560	49	48	5	5	10	16	21	
561	49	3	9	5	8	4	4	
562	28	41	5	5	38	34	11	
563	12	3	15	5	7	33	11	
564	12	1	16	5	3	33	11	
565	12	1	5	5	3	33	4	
566	36	1	30	6	2	16	1	
567	1	1	1	6	2	16	1	
568	34	10	5	5	10	16	21	
569	61	1	6	2	1	1	1	
570	1	1	2	6	2	16	7	
571	3	19	4	1	9	16	9	
572	3	25	5	38	32	4	11	
573	49	2	9	30	7	5	56	
574	1	1	1	43	2	1	7	
575	1	1	1	6	2	1	7	
576	1	2	1	1	1	1	10	
577	1	2	2	2	9	6	9	
578	7	1	5	5	3	4	11	
579	8	51	45	4	29	6	13	
580	3	1	2	2	11	7	1	
581	1	1	1	44	2	1	1	
582	1	2	1	2	1	1	57	
583	1	10	9	5	10	5	21	
584	12	1	2	8	6	1	7	
585	12	1	2	8	6	5	1	
586	1	36	7	2	2	1	1	
587	12	1	1	5	10	1	21	
588	3	1	16	5	4	7	1	
589	1	1	7	1	1	1	14	
590	1	1	9	1	1	1	1	
591	1	1	2	2	4	1	6	
592	62	1	1	2	2	1	1	
593	7	1	2	2	46	1	1	
594	63	1	2	2	4	1	1	
595	49	3	9	5	3	4	4	
596	1	6	2	1	1	16	44	
597	1	51	2	2	2	1	1	
598	7	1	2	2	4	5	1	
599	57	17	5	5	3	4	31	
600	57	1	2	2	4	1	4	
601	57	25	9	5	6	1	8	
602	57	1	2	2	4	1	1	
603	57	10	5	5	10	16	21	
604	57	1	1	1	2	41	1	
605	57	1	1	2	2	1	1	
606	57	1	2	2	4	7	1	
607	57	1	22	2	2	16	1	
608	57	3	5	5	7	14	11	
609	19	34	5	5	3	19	10	
610	1	1	1	2	2	1	3	
611	30	1	9	8	6	1	8	
612	1	1	1	1	3	1	14	
613	1	1	1	2	3	1	1	
614	1	1	7	1	2	5	14	
615	1	1	7	6	2	1	7	
616	1	2	2	2	3	1	3	
617	1	2	2	2	4	1	1	
618	2	1	2	1	3	1	1	
619	2	1	7	2	4	1	8	
620	23	1	1	5	2	1	1	
621	7	1	1	6	2	1	1	
622	7	1	2	2	1	1	4	
623	7	1	2	2	4	1	6	
624	7	1	7	2	4	1	29	
625	1	1	1	2	18	1	1	
626	2	1	1	1	19	1	7	
627	1	1	2	2	1	44	3	
628	1	1	51	6	2	1	33	
629	1	2	50	2	2	1	3	
630	1	13	7	16	2	1	29	
631	1	53	2	1	2	1	7	
632	1	54	1	2	2	1	1	
633	2	17	1	1	2	43	1	
634	2	1	1	6	20	1	1	
635	1	1	22	2	1	1	1	
636	1	1	1	1	2	1	7	
637	1	1	6	1	2	1	7	
638	13	5	2	6	2	1	4	
639	7	1	2	6	2	1	1	
640	28	3	13	5	8	9	11	
