ST	gltA	gyrB	fh	shmt	tyrB	adk	txn	clonal_complex
1	1	1	1	1	1	1	1	1
2	1	1	1	1	2	1	1	1
3	1	1	3	2	2	2	3	
4	1	2	5	3	2	2	3	
5	1	2	1	1	2	2	3	
6	1	1	1	1	2	4	1	1
7	1	1	1	1	3	1	4	1
8	1	1	1	1	4	1	1	1
9	1	1	2	1	1	2	2	
10	1	1	5	3	1	1	1	3
11	1	1	5	3	5	1	1	3
12	1	1	6	1	2	1	1	1
13	1	1	7	1	1	1	1	1
14	1	1	8	1	1	1	4	1
15	1	2	4	1	2	2	4	2
16	1	2	4	1	2	3	4	2
17	1	3	6	1	2	2	4	2
18	1	3	9	1	2	2	4	2
19	1	4	1	1	1	1	1	1
20	2	1	1	1	1	1	1	1
21	3	7	12	6	10	6	7	
22	4	9	10	4	11	5	9	5
23	6	6	11	4	6	8	11	
24	9	9	13	11	9	8	17	
25	10	8	16	7	12	11	13	7
26	4	9	10	8	11	5	9	5
27	5	5	14	5	13	7	10	
28	7	10	15	9	7	9	15	
29	8	10	17	10	8	10	16	
30	1	3	1	1	2	3	22	
31	1	11	2	1	14	3	3	
32	1	2	3	1	2	1	3	
33	1	1	1	1	1	1	4	1
34	1	1	1	1	1	1	5	1
35	1	1	1	1	1	1	6	1
36	1	1	3	1	2	3	3	
37	4	9	10	4	11	5	12	5
38	10	8	16	7	12	11	14	7
39	11	1	1	1	1	1	5	1
40	12	8	18	12	13	14	18	
41	13	12	19	4	15	15	19	
42	1	3	1	1	2	16	4	
43	1	1	1	1	2	1	4	1
44	1	2	1	2	16	2	4	
45	1	2	20	1	2	3	3	8
46	1	2	3	1	2	3	3	8
47	1	2	4	1	17	1	1	9
48	1	2	21	1	17	1	1	9
49	14	13	22	13	18	17	20	
50	1	14	23	1	2	3	1	
51	15	15	24	14	19	18	21	
52	1	16	1	1	1	1	1	1
53	1	2	25	1	2	1	3	
54	1	2	26	1	2	1	1	
55	1	2	1	2	2	2	1	
56	1	2	27	1	2	1	1	
57	17	12	28	4	20	12	23	
58	1	1	29	2	1	1	4	
59	1	1	1	15	1	1	4	1
60	18	17	30	16	21	13	24	
61	1	2	4	1	2	1	3	8
62	1	3	6	1	2	3	4	4
63	1	2	23	1	17	1	1	9
64	1	2	6	1	2	3	3	8
65	1	2	6	1	2	2	4	2
66	1	3	4	1	2	2	4	2
67	1	1	6	1	1	1	4	1
68	19	2	5	3	2	2	3	11
69	19	2	33	2	2	2	3	
70	20	18	32	17	22	19	26	
71	1	2	4	1	2	3	27	2
72	1	1	1	1	23	2	1	
73	6	8	34	9	7	8	15	
74	1	2	6	1	2	3	4	
75	6	8	34	19	26	8	16	
76	23	6	35	4	25	15	28	
77	22	6	36	4	25	15	25	
78	22	9	35	4	25	15	28	
79	21	10	12	18	24	20	29	
