ST	dppC	ulaA	valS	rpoC	leuS	kdpA	clonal_complex
1	1	1	1	1	1	1	3
2	2	2	2	2	2	2	5
3	3	2	2	2	2	2	5
4	3	3	2	2	2	2	5
5	4	4	3	3	3	3	singleton
6	5	5	4	4	4	4	singleton
7	1	6	1	1	1	1	3
8	3	2	2	2	4	5	5
9	3	2	2	2	5	2	5
10	1	7	5	1	1	1	singleton
11	3	2	2	2	4	2	5
12	5	2	6	4	6	4	singleton
13	4	4	3	5	3	6	singleton
14	3	8	2	2	4	2	5
15	6	9	6	4	6	7	singleton
16	7	5	6	6	7	4	2
17	8	5	6	6	7	4	2
18	5	5	7	7	7	4	1
19	8	10	6	6	7	4	2
20	9	5	6	6	7	4	2
21	5	5	6	8	7	4	1
22	5	5	7	8	7	4	1
23	5	5	7	6	7	4	1
24	3	2	2	2	8	2	5
25	5	5	6	8	9	11	singleton
26	5	11	6	9	6	7	4
27	10	2	6	10	12	7	singleton
28	3	2	2	2	10	2	5
29	5	11	6	4	6	7	4
30	3	13	2	2	4	2	5
31	11	5	6	8	7	4	1
32	3	13	2	2	4	8	5
33	5	5	6	8	7	9	1
34	12	5	6	8	7	4	1
35	13	12	8	11	11	10	singleton
36	3	14	2	2	2	2	
37	13	12	8	11	15	10	
38	15	5	6	6	7	4	
39	14	2	2	2	4	2	
40	3	2	9	2	4	2	
41	3	8	2	2	4	12	
42	5	12	8	11	13	10	
43	9	5	6	13	7	4	
44	5	5	7	8	13	4	
45	16	5	6	6	7	4	
46	13	12	8	11	14	10	
47	5	5	7	12	7	4	
48	4	4	3	14	3	3	
