ST	dnaJ	fusA	groL	prfA	recA	rpoB	rprX
1	1	1	1	14	2	1	1
2	1	6	4	2	5	1	4
3	1	3	4	9	2	1	2
4	1	3	1	3	8	5	12
5	1	3	1	3	2	1	2
6	1	3	1	2	8	5	1
7	2	3	1	3	2	1	1
8	3	6	1	2	9	1	2
9	4	3	1	10	3	1	2
10	4	1	1	2	2	1	1
11	4	9	1	2	3	11	2
12	4	10	1	20	3	4	2
13	4	3	1	3	6	5	11
14	4	9	1	2	3	13	2
15	4	14	1	2	2	5	2
16	4	14	1	13	2	5	2
17	4	4	1	2	2	1	2
18	4	3	1	3	2	1	1
19	4	3	1	17	3	4	2
20	4	9	1	2	6	7	2
21	4	3	1	2	3	1	2
22	4	3	1	3	2	1	4
23	4	16	5	2	3	12	2
24	4	11	1	2	3	8	2
25	4	16	1	2	7	14	2
26	4	3	5	2	2	15	13
27	4	3	1	2	2	1	2
28	5	5	6	15	1	3	9
29	5	2	9	5	4	2	3
30	5	18	6	11	1	9	8
31	6	5	6	4	4	2	3
32	7	2	8	5	4	2	3
33	7	7	6	7	1	6	8
34	8	5	6	19	1	9	5
35	8	7	10	16	1	3	6
36	9	7	9	4	1	6	5
37	9	5	2	1	1	3	5
38	10	3	1	2	6	4	2
39	10	12	5	3	3	5	2
40	10	3	5	2	6	5	4
41	10	3	1	3	8	16	1
42	11	8	6	8	1	6	6
43	11	17	6	11	1	9	7
44	11	5	6	16	11	3	10
45	12	3	1	2	3	5	2
46	13	3	1	3	8	5	2
47	14	13	1	3	3	5	2
48	14	13	1	6	3	5	2
49	15	7	7	12	1	9	8
50	16	5	3	4	4	2	8
51	17	5	6	16	10	3	10
52	18	15	6	18	1	10	5
53	19	3	1	2	6	4	2
54	1	24	1	2	19	1	2
55	11	5	6	16	10	3	10
56	1	3	1	2	19	1	2
57	1	24	1	13	2	5	24
58	1	3	1	2	2	1	45
59	4	3	1	2	2	5	4
60	1	3	5	2	19	1	2
61	1	3	1	47	2	1	2
62	1	3	1	3	9	1	24
63	1	27	1	14	6	1	2
64	1	3	1	2	3	5	2
65	1	27	29	14	6	1	2
66	22	16	5	2	3	12	2
67	4	3	1	21	2	1	2
68	4	43	4	29	6	14	2
69	4	23	1	2	3	5	16
70	10	19	5	24	2	15	1
71	4	3	1	3	2	1	35
72	1	3	1	31	2	1	2
73	4	3	1	39	3	1	2
74	4	3	5	2	3	14	2
75	4	3	1	31	2	37	2
76	23	13	1	6	3	5	2
77	4	11	4	6	6	4	2
78	4	9	1	53	6	7	2
79	4	16	1	48	3	1	19
80	4	19	1	25	12	4	2
81	4	11	4	6	23	4	2
82	4	3	1	6	6	5	2
83	4	34	1	2	3	5	2
84	4	3	1	3	2	5	4
85	4	13	1	6	3	1	12
86	4	36	1	2	6	7	2
87	4	12	4	6	2	1	2
88	4	3	1	10	2	1	1
89	4	3	1	6	3	1	4
90	4	3	1	3	2	1	24
91	10	3	1	2	3	5	2
92	4	3	1	9	16	1	2
93	4	43	4	29	2	14	2
94	4	34	1	2	3	1	2
95	4	3	1	29	3	1	4
96	4	44	21	46	7	35	2
97	4	27	1	2	6	1	2
98	4	3	1	3	3	4	2
99	4	3	1	48	3	1	4
100	4	3	1	2	2	1	1
101	40	2	12	23	4	2	3
102	4	3	1	20	3	4	2
103	4	16	5	30	16	1	19
104	4	45	5	49	33	1	34
105	4	3	5	2	3	25	2
