ST	dnaA	fusA	gyrB	leuS	pryG	rplB	rpoB	clonal_complex
1	1	1	1	1	1	1	1	
2	2	2	2	2	1	2	2	CC5
3	3	2	3	3	2	1	2	
4	3	3	1	4	3	1	2	CC1
5	4	2	1	5	1	2	2	
6	5	2	4	6	4	1	3	
7	6	2	4	7	4	1	4	
8	7	3	5	8	5	1	5	CC2
9	8	3	6	3	3	1	6	
10	9	2	3	3	1	1	2	
11	3	4	2	9	3	1	2	
12	10	2	3	10	1	3	2	
13	11	2	1	5	6	1	7	
14	12	5	1	4	2	1	2	CC4
15	13	3	1	11	3	1	8	
16	14	3	3	12	3	1	2	
17	12	3	7	13	6	2	2	
18	15	5	2	14	2	1	2	
19	16	6	8	15	7	1	9	
20	8	1	6	3	3	2	10	
21	11	1	9	16	2	1	10	CC8
22	17	7	10	3	8	1	2	CC7
23	10	2	2	13	2	4	2	
24	5	3	9	3	2	1	2	
25	11	1	9	5	2	1	10	CC8
26	6	8	11	17	4	1	11	
27	8	3	6	18	2	1	2	
28	18	2	3	3	3	1	2	
29	19	3	1	5	3	1	2	
30	14	9	12	3	2	2	2	
31	3	3	1	4	1	1	2	CC1
32	6	8	13	19	4	1	4	
33	20	1	3	5	2	1	2	
34	17	7	10	3	3	1	2	CC7
35	10	2	14	3	4	1	2	
36	3	3	1	4	4	1	2	CC1
37	15	3	2	13	3	1	2	
38	6	8	11	20	2	1	11	
39	6	2	11	21	3	3	4	
40	21	2	1	3	2	5	2	
41	14	2	10	3	2	1	12	
42	16	6	15	22	3	1	9	
43	12	5	1	4	7	1	2	CC4
44	12	3	1	11	9	1	13	
45	22	3	1	23	3	3	14	CC2
46	3	3	1	4	8	1	2	CC1
47	23	1	16	14	1	1	2	
48	14	3	10	3	10	1	12	
49	10	2	3	10	2	3	2	
50	3	3	2	18	1	1	10	CC3
51	6	2	11	18	3	1	11	
52	3	3	2	18	8	1	15	CC3
53	12	1	1	24	3	1	2	
54	2	3	2	2	3	1	2	CC5
