ST	mh_adk	mh_aroA	mh_deoD	mh_gdhA	mh_g6pd	mh_mdh	mh_pgi	clonal_complex
1	1	1	1	1	1	1	1	
2	1	1	1	1	1	2	1	
3	2	1	1	1	1	1	1	
4	2	1	1	1	1	3	1	
5	3	2	2	1	2	4	2	
6	4	3	3	2	3	5	3	
7	4	4	4	1	4	6	4	
8	5	5	5	3	5	7	5	
9	6	6	6	4	6	8	6	
10	4	4	4	5	4	6	4	
11	7	7	4	5	7	6	3	
12	8	8	5	3	5	7	5	
13	9	9	4	6	8	9	7	
14	3	10	7	7	9	10	8	
15	6	6	8	4	6	8	6	
16	10	11	9	8	10	11	9	
17	11	5	5	3	5	7	5	
18	3	12	10	9	2	4	2	
19	3	2	2	9	2	4	2	
20	3	2	2	10	2	4	10	
21	8	13	11	11	11	10	11	
22	12	14	12	12	12	12	12	
23	13	15	8	13	13	13	13	
24	14	16	5	12	14	14	14	
25	8	5	5	3	5	7	5	
26	6	17	6	4	6	8	6	
27	15	18	13	14	15	15	15	
28	16	19	14	6	16	12	6	
29	17	20	15	15	17	16	1	
30	18	21	16	16	18	17	16	
31	19	21	16	17	18	17	17	
32	20	21	17	18	19	18	18	
33	21	22	18	18	18	17	19	
34	18	21	16	19	18	17	17	
35	3	23	19	8	20	19	20	
36	22	24	20	20	21	20	21	
37	22	24	20	16	21	20	21	
38	18	21	16	16	18	17	17	
39	23	25	19	13	22	8	22	
40	24	25	19	21	22	8	22	
41	11	21	17	15	18	17	18	
42	25	16	21	3	11	21	23	
43	19	26	22	16	18	17	24	
44	26	27	23	22	23	22	25	
45	26	28	24	6	23	22	26	
46	26	27	25	22	23	22	25	
47	26	28	23	23	23	22	25	
48	26	3	23	24	15	5	26	
49	26	3	23	13	4	5	13	
50	26	3	23	13	15	5	13	
51	26	3	23	13	2	5	6	
52	25	2	2	9	2	4	2	
53	3	2	2	10	2	4	2	
54	26	3	23	24	15	5	13	
55	25	12	2	9	2	4	2	
56	27	2	2	9	2	4	2	
57	26	2	2	9	2	4	27	
58	27	2	2	9	2	4	28	
59	27	2	2	9	2	4	27	
60	27	2	2	10	2	4	27	
61	26	29	23	6	23	22	25	
62	4	4	4	5	4	23	4	
63	28	28	23	23	23	22	25	
64	26	28	23	6	23	22	25	
65	3	2	2	9	2	24	27	
66	3	31	2	9	2	24	27	
67	10	21	3	26	24	25	30	
68	27	30	2	25	2	4	29	
69	29	1	1	1	1	1	1	
70	2	1	1	1	1	1	31	
71	30	1	1	1	1	1	1	
72	3	10	7	7	15	10	3	
73	26	28	23	22	23	22	25	
74	8	9	4	2	9	5	7	
75	10	11	3	5	12	11	9	
76	8	4	5	3	5	7	5	
77	18	21	20	18	19	18	18	
78	28	43	5	30	32	26	39	
79	33	43	28	31	9	27	40	
80	4	44	29	32	23	5	1	
81	34	45	4	33	7	12	41	
82	20	21	28	18	19	18	50	
83	9	34	19	38	30	33	34	
84	10	35	11	16	27	16	36	
85	12	39	12	12	12	32	12	
87	11	37	35	18	18	34	37	
88	18	38	26	18	18	18	37	
89	31	19	14	6	26	17	6	
90	10	19	3	7	29	16	33	
91	10	33	19	6	25	12	32	
92	10	36	27	27	28	17	35	
93	24	25	3	28	39	16	38	
94	10	33	19	6	31	12	32	
95	10	40	3	29	28	16	33	
97	8	5	5	8	5	7	5	
98	20	21	17	15	19	18	18	
99	4	44	29	32	23	28	42	
100	4	3	30	34	33	22	3	
101	4	46	29	32	23	5	1	
102	32	33	19	6	31	12	32	
103	3	42	7	7	15	10	43	
104	26	27	23	4	23	22	25	
105	10	51	34	6	34	16	33	
106	10	36	27	27	28	16	35	
107	10	36	27	27	29	17	35	
108	10	40	3	29	34	17	33	
109	10	36	27	27	29	16	35	
110	12	47	31	35	35	12	44	
111	7	48	4	5	7	6	3	
112	4	4	4	5	36	6	4	
113	35	49	19	36	37	29	48	
114	19	21	32	16	18	17	45	
115	36	20	15	15	17	16	1	
116	20	21	33	18	18	18	18	
117	4	4	4	5	4	6	47	
119	4	37	5	37	38	30	46	
120	4	37	5	37	38	31	46	
121	10	50	19	6	25	12	32	
122	37	9	3	6	24	16	49	
123	18	38	28	29	18	18	3	
124	10	40	3	29	29	16	33	
125	20	21	28	18	19	18	18	
126	10	40	3	29	19	16	33	
127	20	21	17	18	29	16	18	
128	3	42	7	7	15	10	3	
129	27	30	2	25	2	4	27	
130	31	19	14	6	26	12	6	
131	3	42	7	7	9	10	8	
132	16	19	14	6	27	12	6	
133	8	9	4	39	9	5	7	
134	10	11	3	5	40	11	9	
135	18	21	16	16	20	17	16	
136	27	30	2	25	2	4	25	
137	17	52	17	16	18	17	17	
138	3	42	7	29	40	10	8	
139	3	30	2	25	2	4	10	
140	3	2	2	40	9	4	2	
141	9	34	19	30	41	33	34	
142	27	30	39	25	2	4	25	
143	3	42	7	15	7	10	3	
144	8	9	29	12	42	5	1	
145	42	4	4	5	43	6	4	
146	7	7	4	5	44	6	3	
147	8	9	29	39	9	5	7	
148	8	59	4	12	38	5	1	
149	7	7	4	41	7	6	3	
150	8	59	4	42	38	5	1	
151	8	5	29	3	5	7	5	
152	4	4	4	5	43	6	4	
153	43	63	4	12	32	5	1	
154	7	7	4	5	44	35	3	
155	5	7	41	29	38	6	53	
156	10	9	3	43	45	36	35	
157	8	59	4	12	32	5	51	
158	44	7	4	5	44	6	3	
159	8	9	29	12	9	5	1	
160	10	59	4	43	46	38	4	
161	8	37	5	3	5	7	5	
162	5	7	4	29	38	6	53	
163	2	64	1	1	1	1	1	
164	8	59	4	12	38	37	1	
165	2	1	40	1	1	1	1	
166	4	4	4	5	43	6	52	
167	6	6	42	4	6	8	6	
168	8	59	5	13	9	6	54	
169	8	9	29	12	9	7	1	
170	5	7	4	29	38	6	4	
171	7	7	43	41	7	6	3	
172	4	4	4	44	4	6	4	
173	8	59	4	45	38	5	1	
174	34	63	35	26	18	38	37	
175	34	63	35	26	40	38	37	
176	34	63	35	26	29	38	37	
177	34	63	35	26	26	38	37	
178	9	34	19	40	30	33	34	
179	18	26	18	15	18	39	55	
180	18	65	44	15	27	17	37	
