ST	dapE	ddlA	glpQ	ilvE	leuS	pyc	pyrE	clonal_complex
1	1	1	1	1	1	1	1	1
2	2	2	1	2	2	2	2	5
3	3	3	2	3	3	3	3	2
4	8	7	3	4	4	4	4	1
5	9	4	3	13	5	5	5	
6	8	7	3	4	6	4	4	1
7	3	4	2	3	3	3	3	2
8	4	7	8	2	7	6	8	3
9	10	5	4	7	7	9	9	6
10	10	5	4	7	3	9	9	6
11	8	3	3	4	4	4	4	1
12	2	2	5	2	2	2	2	5
13	8	7	3	4	4	6	4	1
14	5	4	5	2	8	6	10	
15	8	7	3	4	20	4	4	1
16	8	3	9	4	10	4	4	1
17	8	4	3	4	4	4	4	1
18	4	4	3	2	7	6	8	3
19	11	7	3	4	2	4	2	
20	11	4	9	8	11	7	6	
21	15	4	3	5	5	11	6	4
22	12	4	7	9	17	8	9	7
23	6	4	3	5	17	2	7	
24	6	6	7	10	21	6	6	
25	13	4	7	6	18	1	1	
26	14	4	3	14	12	10	3	
27	15	4	10	5	5	11	6	4
28	16	4	6	2	13	12	9	
29	7	9	9	11	9	6	9	
30	17	4	3	2	14	6	8	3
31	8	4	11	4	3	1	9	
32	11	4	7	15	19	6	11	
33	5	8	7	9	15	4	9	
34	18	4	7	9	16	6	9	8
35	4	4	3	12	7	6	8	3
36	15	4	12	5	5	11	6	4
37	12	4	7	9	17	6	9	7
38	18	1	7	4	17	7	8	
39	18	4	7	9	3	6	9	8
