ST	pheS	glyA	fumC	mdh	sucA	dnaN	atpA	clonal_complex
1	30	1	1	1	1	1	1	6
3	6	8	7	3	4	3	1	
4	7	9	8	3	5	2	1	
6	47	3	10	4	7	2	2	
7	3	3	1	3	8	2	1	
8	12	12	7	3	9	2	2	
9	2	5	11	7	10	5	3	
10	3	3	7	3	6	2	4	
11	13	2	3	4	11	6	1	3
12	14	2	3	8	11	7	2	
13	15	2	12	4	11	7	1	3
15	17	7	3	3	11	2	2	4
21	23	2	15	4	11	2	1	
25	27	15	6	2	2	11	7	1
27	1	16	18	13	15	13	9	13
30	31	19	18	13	18	13	9	
35	34	16	20	13	24	13	9	
50	2	2	2	3	1	22	2	
52	5	6	4	3	7	7	1	
53	10	11	6	4	36	26	19	
54	27	15	6	3	2	11	7	1
55	27	15	6	3	2	27	7	1
56	9	6	1	5	11	25	24	
57	27	15	6	2	2	11	1	1
58	27	15	6	3	39	27	7	1
61	31	31	19	13	23	15	18	8
62	31	31	25	13	23	13	18	8
64	42	32	28	18	40	28	26	5
65	8	2	1	4	38	24	25	
66	27	15	6	3	68	27	7	1
67	42	15	6	3	2	27	29	1
68	27	15	6	3	2	5	7	1
70	21	1	6	3	5	29	1	7
71	21	33	6	3	5	29	1	7
72	43	37	7	3	41	1	2	
73	27	34	7	4	44	1	1	
74	44	6	10	32	37	26	2	
75	43	36	6	4	43	30	1	
79	56	38	11	21	38	36	2	
80	27	3	44	3	38	37	2	
81	71	40	45	3	2	38	28	
82	3	33	29	3	2	2	4	
83	55	6	10	32	47	22	2	
84	56	33	10	3	41	39	1	
86	58	6	10	3	36	41	1	
92	7	33	3	25	48	44	37	
97	53	52	37	3	11	2	1	
98	13	2	3	8	11	50	1	3
100	60	2	3	4	11	7	1	3
101	31	16	20	30	15	17	9	
104	63	16	20	13	59	13	30	
106	36	18	20	13	66	13	14	
108	62	20	18	13	15	11	17	
115	78	15	6	3	2	27	7	1
116	27	15	6	3	2	27	40	1
119	79	18	18	13	24	13	11	
120	27	15	6	3	39	11	7	1
125	76	16	28	15	24	16	11	
126	82	62	20	13	15	17	9	
128	81	58	18	13	17	57	10	
133	78	57	51	13	24	17	42	
134	27	15	48	2	2	11	7	1
136	57	1	1	1	1	1	1	6
137	3	6	55	3	4	24	1	
138	47	66	10	21	10	31	1	
139	27	39	13	5	46	42	2	
140	17	7	3	3	11	65	2	4
141	85	65	52	39	73	35	43	2
142	85	56	52	39	73	35	43	2
143	85	56	52	38	73	34	43	2
144	86	56	54	37	73	35	44	2
145	86	56	53	38	73	35	44	2
147	85	56	53	38	73	35	43	2
149	85	56	52	37	73	35	44	2
152	86	56	52	37	75	35	43	2
153	85	56	52	37	75	35	43	2
155	85	56	52	41	73	34	43	2
161	42	32	28	18	82	28	26	5
162	27	15	6	2	2	66	7	1
163	27	15	56	2	2	11	7	1
164	27	15	6	47	2	11	7	1
165	27	6	6	3	5	2	1	9
168	2	16	18	13	23	13	51	
171	56	69	28	21	83	70	2	
173	17	2	3	3	11	65	2	4
174	90	33	3	21	54	49	50	
184	31	75	63	50	90	15	53	
185	98	20	57	13	91	73	9	
186	99	2	64	51	11	7	1	
187	23	9	65	52	38	39	2	
188	27	15	6	2	2	11	57	1
189	101	2	66	51	11	7	3	
195	21	2	68	8	11	76	19	
196	27	6	6	3	5	2	19	9
197	43	1	7	3	2	2	19	11
198	43	1	7	4	2	2	19	11
199	27	6	6	3	88	53	1	9
200	27	6	6	3	88	2	1	9
201	21	2	13	8	11	2	1	
202	43	1	7	4	4	2	1	11
203	23	9	7	4	11	2	2	10
204	23	9	7	3	11	2	2	10
205	102	13	69	8	63	30	1	
206	27	6	13	4	47	2	2	9
207	27	6	13	4	47	2	19	9
208	27	6	13	4	47	42	2	9
209	27	6	29	4	88	42	1	9
210	27	6	29	3	88	42	1	9
211	27	6	6	4	88	42	1	9
212	27	6	6	4	88	42	2	9
213	27	6	29	3	5	42	2	9
214	27	6	29	4	88	42	2	9
215	103	77	28	4	94	28	60	
216	104	78	71	53	95	77	1	12
217	104	78	70	53	95	77	1	12
218	104	78	70	54	95	77	59	12
219	21	14	72	8	63	2	1	
220	33	16	18	13	15	52	9	13
