ST	arcC	glpK	gtr	pta	tpiA	tuf	clonal_complex
1	6	5	7	6	6	3	
2	1	1	7	1	1	1	
3	8	2	1	3	2	4	
4	5	1	1	4	3	3	
5	9	4	2	2	4	2	
6	7	2	3	4	5	3	
7	5	5	5	1	5	3	
8	2	5	7	1	6	3	
9	2	2	6	1	6	3	
10	3	5	1	4	5	3	
11	2	3	3	4	7	3	
12	6	5	4	1	6	3	
13	1	5	7	1	6	3	
14	6	1	7	1	6	3	
15	7	2	1	3	8	5	
16	10	2	7	1	6	3	
17	4	2	7	5	6	3	
18	6	5	7	1	6	3	
19	2	3	7	1	6	3	
20	6	3	7	1	6	3	
21	2	2	1	1	6	3	
22	2	3	3	1	7	3	
23	1	5	7	6	6	3	
24	11	7	9	8	9	4	
25	7	2	8	3	8	4	
26	12	8	1	3	8	4	
27	13	5	1	1	6	3	
28	8	2	10	7	8	4	
29	2	2	7	1	6	3	
30	14	6	11	10	10	1	
31	7	9	1	3	8	4	
32	15	2	1	9	2	4	
33	7	5	7	1	6	3	
34	2	5	3	1	6	3	
35	6	3	7	1	6	1	
36	1	3	7	1	3	3	
37	8	8	12	8	3	4	
38	7	5	13	6	6	3	
39	8	2	14	11	8	4	
40	16	2	7	1	6	3	
41	11	2	13	1	6	3	
42	2	5	13	4	6	3	
43	1	3	3	12	6	6	
44	17	5	13	4	7	3	
45	6	5	7	3	6	3	
46	7	2	14	1	2	3	
47	6	5	7	4	6	3	
48	6	5	3	4	6	3	
49	6	5	3	3	6	3	
50	1	3	7	1	11	6	
51	18	5	7	1	6	3	
52	19	2	1	3	8	4	
53	20	5	15	4	6	1	
54	21	10	16	3	12	7	
55	11	2	3	4	13	3	
56	6	2	5	1	6	3	
57	2	5	7	1	3	3	
58	1	5	1	6	8	5	
59	7	2	7	3	6	3	
60	6	5	7	3	2	3	
61	7	2	14	1	6	4	
62	11	8	17	13	2	4	
63	11	2	17	13	2	4	
64	10	2	1	3	3	7	
65	2	5	6	1	6	3	
66	6	5	3	6	6	3	
67	14	2	7	1	6	3	
68	22	2	18	13	2	4	
69	8	6	11	1	11	8	
70	23	3	7	1	6	3	
71	25	2	6	1	6	3	
72	2	11	7	1	11	3	
73	24	5	7	1	6	3	
74	6	12	1	6	6	3	
75	8	14	9	1	14	9	
76	26	5	12	1	6	3	
77	6	13	19	1	6	3	
