ST	glp	gyrB	mdh	metG	purM	dtdS	lysA	pntA	pyrC	tnaA	clonal_complex
1	5	1	8	8	1	8	9	1	10	7	
2	5	1	8	8	1	8	9	17	10	7	
3	2	2	1	2	1	10	1	2	4	9	
4	2	2	7	7	1	34	10	2	4	9	
5	1	1	5	1	2	29	3	4	3	7	
6	2	2	2	3	3	46	4	5	5	32	
7	3	4	4	5	5	30	2	3	2	7	
8	4	5	6	6	6	1	7	6	6	5	
9	10	10	27	7	9	2	1	12	5	25	
10	6	11	12	12	10	33	5	13	11	21	
11	13	14	15	7	9	5	6	15	14	12	
12	8	15	16	7	9	35	8	13	15	9	
13	11	12	13	7	11	3	4	14	12	10	
14	12	13	14	13	12	4	38	1	13	11	
15	14	14	17	7	13	6	25	16	4	22	
16	15	16	17	15	1	5	19	2	4	2	
17	17	16	19	7	16	36	26	5	17	14	
18	5	18	3	16	17	8	27	19	18	7	
19	19	20	21	18	9	10	28	22	15	27	
20	5	27	23	1	22	20	32	24	32	7	
21	22	21	22	19	20	37	29	1	3	13	
22	15	16	11	7	1	5	19	20	4	2	
23	23	14	17	17	8	44	18	21	4	9	
24	13	16	11	2	13	19	14	20	5	16	
25	30	14	15	21	21	38	30	21	19	9	
26	24	23	21	22	8	12	39	11	12	3	
27	18	19	17	17	8	5	16	21	4	26	
28	26	23	10	24	8	14	14	13	12	10	
29	27	25	20	7	13	19	26	23	12	9	
30	17	26	20	23	9	6	30	5	20	16	
31	15	22	17	15	18	5	31	5	4	26	
32	5	3	18	14	14	7	2	17	22	13	
33	16	17	24	10	15	8	11	1	16	7	
34	15	14	28	15	18	9	15	20	4	23	
35	20	14	11	7	19	45	17	15	15	24	
36	21	4	24	5	15	29	2	1	16	1	
37	16	4	24	10	15	11	2	1	16	7	
38	25	24	11	23	16	13	40	5	17	18	
39	6	6	2	9	7	15	12	7	9	15	
40	5	3	18	14	14	39	2	10	22	13	
41	29	16	11	24	8	17	4	21	21	2	
42	5	3	18	25	14	7	2	17	22	17	
43	7	7	9	9	8	21	11	8	7	18	
44	8	8	10	7	9	22	33	9	5	30	
45	32	13	12	13	12	24	41	1	13	19	
46	5	3	8	10	1	41	13	10	8	20	
47	9	9	11	11	9	22	12	11	9	8	
48	6	31	2	24	7	19	22	27	24	29	
49	33	15	11	2	3	2	17	13	27	28	
50	28	29	25	1	23	26	34	1	23	28	
51	14	6	20	7	8	5	24	18	28	22	
52	15	22	17	20	18	5	4	20	17	26	
53	31	22	11	7	13	18	4	21	4	2	
54	8	14	17	26	8	5	18	21	4	26	
55	36	1	4	16	23	8	21	1	30	7	
56	5	30	8	4	24	8	9	1	10	7	
57	34	13	14	28	25	27	41	29	13	11	
58	35	1	22	1	26	42	35	28	3	31	
59	37	23	26	27	3	43	23	27	26	6	
60	28	1	4	4	4	16	20	10	31	7	
61	4	13	14	29	25	28	41	32	35	11	
62	8	16	21	7	8	6	30	21	17	2	
63	13	22	21	2	9	19	4	5	17	16	
64	16	4	24	10	8	8	2	1	16	7	
65	13	14	15	7	9	40	6	25	5	4	
66	8	15	16	7	9	35	19	13	33	9	
67	28	1	18	4	3	25	20	26	29	20	
68	5	30	8	30	23	31	9	30	10	7	
69	5	3	29	1	28	29	37	5	34	7	
70	38	1	12	31	27	32	36	1	16	7	
71	5	32	30	32	29	47	44	33	36	33	
72	36	1	4	5	30	48	42	10	37	34	
73	39	33	31	33	31	26	43	34	38	31	
74	1	34	18	5	23	49	2	4	39	7	
75	36	1	4	5	30	50	42	10	40	34	
76	28	3	3	25	21	26	2	26	41	7	
